HGNC ID	Approved symbol	Approved name	Previous symbols	Status	NCBI Gene ID(supplied by NCBI)	UniProt ID(supplied by UniProt)	Mouse genome database ID(supplied by MGI)	Rat genome database ID(supplied by RGD)	Ensembl gene ID
HGNC:2684	DAZAP2	DAZ associated protein 2		Approved	9802	Q15038	MGI:1344344	RGD:1307407	ENSG00000183283
HGNC:43869	DAZAP2P1	DAZ associated protein 2 pseudogene 1		Approved	645805				ENSG00000223825
HGNC:2685	DAZL	deleted in azoospermia like	DAZLA	Approved	1618	Q92904	MGI:1342328	RGD:1591714	ENSG00000092345
HGNC:2686	DAZLA	symbol withdrawn, see [HGNC:2685](/data/gene-symbol-report/#!/hgnc_id/HGNC:2685)		Symbol Withdrawn					
HGNC:2688	DBCCR1	symbol withdrawn, see [HGNC:2687](/data/gene-symbol-report/#!/hgnc_id/HGNC:2687)		Symbol Withdrawn					
HGNC:43904	DBET	D4Z4 binding element transcript		Approved	100419743				ENSG00000281591
HGNC:17364	DBF4	DBF4-CDC7 kinase regulatory subunit		Approved	10926	Q9UBU7	MGI:1351328	RGD:1305854	ENSG00000006634
HGNC:17883	DBF4B	DBF4B-CDC7 kinase regulatory subunit		Approved	80174	Q8NFT6		RGD:7649594	ENSG00000161692
HGNC:45059	DBF4P1	DBF4 pseudogene 1		Approved	645084				ENSG00000235489
HGNC:45060	DBF4P2	DBF4 pseudogene 2		Approved	100420180				ENSG00000271635
HGNC:45061	DBF4P3	DBF4 pseudogene 3		Approved	112272612				ENSG00000271097
HGNC:2689	DBH	dopamine beta-hydroxylase		Approved	1621	P09172	MGI:94864	RGD:2489	ENSG00000123454
HGNC:24155	DBH-AS1	DBH antisense RNA 1	NCRNA00118	Approved	138948				ENSG00000225756
HGNC:2690	DBI	diazepam binding inhibitor, acyl-CoA binding protein		Approved	1622	P07108	MGI:94865	RGD:2490	ENSG00000155368
HGNC:2693	DBIL3	diazepam binding inhibitor-like 3		Entry Withdrawn					
HGNC:2694	DBIL4	diazepam binding inhibitor-like 4		Entry Withdrawn					
HGNC:38519	DBIL5P	diazepam binding inhibitor-like 5, pseudogene		Approved	100131454		MGI:108039		ENSG00000231784
HGNC:38518	DBIL5P2	diazepam binding inhibitor-like 5 pseudogene 2		Approved	100169989				ENSG00000242412
HGNC:2692	DBIP1	DBI pseudogene 1	DBIL2	Approved	1624				ENSG00000218748
HGNC:2691	DBIP2	DBI pseudogene 2	DBIL1	Approved	1623				ENSG00000251366
HGNC:38517	DBIP3	DBI pseudogene 3		Approved	791082				
HGNC:2695	DBN1	drebrin 1	D0S117E	Approved	1627	Q16643	MGI:1931838	RGD:70885	ENSG00000113758
HGNC:28455	DBNDD1	dysbindin domain containing 1		Approved	79007	Q9H9R9	MGI:1919435	RGD:1310008	ENSG00000003249
HGNC:15881	DBNDD2	dysbindin domain containing 2	C20orf35	Approved	55861	Q9BQY9	MGI:106562	RGD:1559521	ENSG00000244274
HGNC:2696	DBNL	drebrin like		Approved	28988	Q9UJU6	MGI:700006	RGD:70941	ENSG00000136279
HGNC:2697	DBP	D-box binding PAR bZIP transcription factor		Approved	1628	Q10586	MGI:94866	RGD:2491	ENSG00000105516
HGNC:15594	DBR1	debranching RNA lariats 1		Approved	51163	Q9UK59	MGI:1931520	RGD:1598038	ENSG00000138231
HGNC:2698	DBT	dihydrolipoamide branched chain transacylase E2		Approved	1629	P11182	MGI:105386	RGD:68403	ENSG00000137992
HGNC:56480	DBTP1	DBT pseudogene 1		Approved	127379690				ENSG00000239280
HGNC:33185	DBX1	developing brain homeobox 1		Approved	120237	A6NMT0	MGI:94867	RGD:1308896	ENSG00000109851
HGNC:33186	DBX2	developing brain homeobox 2		Approved	440097	Q6ZNG2	MGI:107445	RGD:1359605	ENSG00000185610
HGNC:55479	DBX2-AS1	DBX2 antisense RNA 1		Approved	120766145				ENSG00000257319
HGNC:30911	DCAF1	DDB1 and CUL4 associated factor 1	VPRBP	Approved	9730	Q9Y4B6	MGI:2445220	RGD:1305176	ENSG00000145041
HGNC:20229	DCAF4	DDB1 and CUL4 associated factor 4	WDR21, WDR21A	Approved	26094	Q8WV16	MGI:1921078	RGD:1306241	ENSG00000119599
HGNC:27723	DCAF4L1	DDB1 and CUL4 associated factor 4 like 1	WDR21B	Approved	285429	Q3SXM0	MGI:1921078		ENSG00000182308
HGNC:26657	DCAF4L2	DDB1 and CUL4 associated factor 4 like 2	WDR21C	Approved	138009	Q8NA75	MGI:1921078		ENSG00000176566
HGNC:20224	DCAF5	DDB1 and CUL4 associated factor 5	WDR22	Approved	8816	Q96JK2	MGI:2444785	RGD:1306535	ENSG00000139990
HGNC:30002	DCAF6	DDB1 and CUL4 associated factor 6	IQWD1	Approved	55827	Q58WW2	MGI:1921356	RGD:1561961	ENSG00000143164
HGNC:30915	DCAF7	DDB1 and CUL4 associated factor 7	WDR68	Approved	10238	P61962	MGI:1919083	RGD:1305140	ENSG00000136485
HGNC:24891	DCAF8	DDB1 and CUL4 associated factor 8	WDR42A	Approved	50717	Q5TAQ9	MGI:91860	RGD:1308513	ENSG00000132716
HGNC:55792	DCAF8-DT	DCAF8 divergent transcript		Approved	100287049				ENSG00000228606
HGNC:31810	DCAF8L1	DDB1 and CUL4 associated factor 8 like 1	WDR42B	Approved	139425	A6NGE4	MGI:101758	RGD:1584985	ENSG00000226372
HGNC:31811	DCAF8L2	DDB1 and CUL4 associated factor 8 like 2	WDR42C	Approved	347442	P0C7V8	MGI:101758		ENSG00000189186
HGNC:23686	DCAF10	DDB1 and CUL4 associated factor 10	WDR32	Approved	79269	Q5QP82	MGI:2140179	RGD:1304730	ENSG00000122741
HGNC:20258	DCAF11	DDB1 and CUL4 associated factor 11	WDR23	Approved	80344	Q8TEB1	MGI:90168	RGD:1311288	ENSG00000100897
HGNC:19911	DCAF12	DDB1 and CUL4 associated factor 12	KIAA1892, WDR40A	Approved	25853	Q5T6F0	MGI:1916220	RGD:1594034	ENSG00000198876
HGNC:29395	DCAF12L1	DDB1 and CUL4 associated factor 12 like 1	WDR40B	Approved	139170	Q5VU92	MGI:2444462	RGD:1563873	ENSG00000198889
HGNC:32950	DCAF12L2	DDB1 and CUL4 associated factor 12 like 2	WDR40C	Approved	340578	Q5VW00	MGI:2444462, MGI:2445178	RGD:1560768	ENSG00000198354
HGNC:24535	DCAF13	DDB1 and CUL4 associated factor 13	WDSOF1	Approved	25879	Q9NV06	MGI:2684929	RGD:1308458	ENSG00000164934
HGNC:43866	DCAF13P1	DDB1 and CUL4 associated factor 13 pseudogene 1		Approved	100129009				ENSG00000242562
HGNC:43867	DCAF13P2	DDB1 and CUL4 associated factor 13 pseudogene 2		Approved	100288979				ENSG00000250816
HGNC:43868	DCAF13P3	DDB1 and CUL4 associated factor 13 pseudogene 3		Approved	100132724				ENSG00000259378
HGNC:25095	DCAF15	DDB1 and CUL4 associated factor 15	C19orf72	Approved	90379	Q66K64	MGI:2684420	RGD:1304881	ENSG00000132017
HGNC:25987	DCAF16	DDB1 and CUL4 associated factor 16	C4orf30	Approved	54876	Q9NXF7		RGD:7661830	ENSG00000163257
HGNC:25784	DCAF17	DDB1 and CUL4 associated factor 17	C2orf37	Approved	80067	Q5H9S7	MGI:1923013	RGD:1565551	ENSG00000115827
HGNC:26238	DCAKD	dephospho-CoA kinase domain containing		Approved	79877	Q8WVC6	MGI:1915337	RGD:1359211	ENSG00000172992
HGNC:24459	DCANP1	dendritic cell associated nuclear protein 1	C5orf20	Approved	140947	Q8TF63			ENSG00000251380
HGNC:21479	DCBLD1	discoidin, CUB and LCCL domain containing 1		Approved	285761	Q8N8Z6	MGI:1913936	RGD:1307211	ENSG00000164465
HGNC:24627	DCBLD2	discoidin, CUB and LCCL domain containing 2		Approved	131566	Q96PD2	MGI:1920629	RGD:620543	ENSG00000057019
HGNC:2701	DCC	DCC netrin 1 receptor		Approved	1630	P43146	MGI:94869	RGD:2492	ENSG00000187323
HGNC:14669	DCD	dermcidin		Approved	117159	P81605			ENSG00000161634
HGNC:20625	DCDC1	doublecortin domain containing 1	DCDC5	Approved	341019	M0R2J8		RGD:1562221	ENSG00000170959
HGNC:18141	DCDC2	doublecortin domain containing 2	DFNB66	Approved	51473	Q9UHG0	MGI:2652818	RGD:1310227	ENSG00000146038
HGNC:32576	DCDC2B	doublecortin domain containing 2B		Approved	149069	A2VCK2	MGI:2686212	RGD:1583476	ENSG00000222046
HGNC:32696	DCDC2C	doublecortin domain containing 2C		Approved	728597	A8MYV0	MGI:1915761	RGD:1559651	ENSG00000214866
HGNC:24799	DCDC5	symbol withdrawn, see [HGNC:20625](/data/gene-symbol-report/#!/hgnc_id/HGNC:20625)		Symbol Withdrawn					
HGNC:2702	DCE	symbol withdrawn, see [HGNC:2859](/data/gene-symbol-report/#!/hgnc_id/HGNC:2859)		Symbol Withdrawn					
HGNC:13681	DCHS1	dachsous cadherin-related 1	CDH25, PCDH16	Approved	8642	Q96JQ0	MGI:2685011	RGD:1309878	ENSG00000166341
HGNC:40650	DCHS1-AS1	DCHS1 antisense RNA 1		Approved	118597837				ENSG00000255390
HGNC:23111	DCHS2	dachsous cadherin-related 2	CDH27, PCDH23	Approved	54798	Q6V1P9	MGI:2685263	RGD:1563329	ENSG00000197410
HGNC:2704	DCK	deoxycytidine kinase		Approved	1633	P27707	MGI:102726	RGD:620667	ENSG00000156136
HGNC:2700	DCLK1	doublecortin like kinase 1	DCAMKL1	Approved	9201	O15075	MGI:1330861	RGD:68437	ENSG00000133083
HGNC:19002	DCLK2	doublecortin like kinase 2	DCAMKL2	Approved	166614	Q8N568	MGI:1918012	RGD:1308384	ENSG00000170390
HGNC:19005	DCLK3	doublecortin like kinase 3	DCAMKL3	Approved	85443	Q9C098	MGI:3039580	RGD:1309232	ENSG00000163673
HGNC:17660	DCLRE1A	DNA cross-link repair 1A		Approved	9937	Q6PJP8	MGI:1930042	RGD:1306156	ENSG00000198924
HGNC:17641	DCLRE1B	DNA cross-link repair 1B		Approved	64858	Q9H816	MGI:2156057	RGD:1310343	ENSG00000118655
HGNC:17642	DCLRE1C	DNA cross-link repair 1C	SCIDA	Approved	64421	Q96SD1	MGI:2441769	RGD:708574	ENSG00000152457
HGNC:44877	DCLRE1CP1	DNA cross-link repair 1C pseudogene 1		Approved	105376432				ENSG00000237470
HGNC:2705	DCN	decorin		Approved	1634	P07585	MGI:94872	RGD:61895	ENSG00000011465
HGNC:2706	DCOH	symbol withdrawn, see [HGNC:8646](/data/gene-symbol-report/#!/hgnc_id/HGNC:8646)		Symbol Withdrawn					
HGNC:13558	DCP1	symbol withdrawn, see [HGNC:2707](/data/gene-symbol-report/#!/hgnc_id/HGNC:2707)		Symbol Withdrawn					
HGNC:18714	DCP1A	decapping mRNA 1A		Approved	55802	Q9NPI6	MGI:1923151	RGD:1561298	ENSG00000272886
HGNC:24451	DCP1B	decapping mRNA 1B		Approved	196513	Q8IZD4	MGI:2442404	RGD:1562214	ENSG00000151065
HGNC:24452	DCP2	decapping mRNA 2		Approved	167227	Q8IU60	MGI:1917890	RGD:1562909	ENSG00000172795
HGNC:29812	DCPS	decapping enzyme, scavenger		Approved	28960	Q96C86	MGI:1916555	RGD:628887	ENSG00000110063
HGNC:2708	DCR	Down syndrome chromosome region		Approved	1637				
HGNC:26539	DCST1	DC-STAMP domain containing 1		Approved	149095	Q5T197	MGI:1925022	RGD:1307756	ENSG00000163357
HGNC:41147	DCST1-AS1	DCST1 antisense RNA 1		Approved	100505666				ENSG00000232093
HGNC:26562	DCST2	DC-STAMP domain containing 2		Approved	127579	Q5T1A1	MGI:2685606	RGD:1564557	ENSG00000163354
HGNC:18549	DCSTAMP	dendrocyte expressed seven transmembrane protein	TM7SF4	Approved	81501	Q9H295	MGI:1923016	RGD:1310435	ENSG00000164935
HGNC:2709	DCT	dopachrome tautomerase	TYRP2	Approved	1638	P40126	MGI:102563	RGD:1564975	ENSG00000080166
HGNC:2710	DCTD	dCMP deaminase		Approved	1635	P32321	MGI:2444529	RGD:1359671	ENSG00000129187
HGNC:2711	DCTN1	dynactin subunit 1		Approved	1639	Q14203	MGI:107745	RGD:62038	ENSG00000204843
HGNC:44151	DCTN1-AS1	DCTN1 antisense RNA 1		Approved	100189589				ENSG00000237737
HGNC:2712	DCTN2	dynactin subunit 2		Approved	10540	Q13561	MGI:107733	RGD:1303182	ENSG00000175203
HGNC:2713	DCTN3	dynactin subunit 3		Approved	11258	O75935	MGI:1859251	RGD:1309547	ENSG00000137100
HGNC:15518	DCTN4	dynactin subunit 4		Approved	51164	Q9UJW0	MGI:1914915	RGD:71023	ENSG00000132912
HGNC:24594	DCTN5	dynactin subunit 5		Approved	84516	Q9BTE1	MGI:1891689	RGD:1305654	ENSG00000166847
HGNC:16964	DCTN6	dynactin subunit 6		Approved	10671	O00399	MGI:1343154	RGD:1307549	ENSG00000104671
HGNC:55241	DCTN6-DT	DCTN6 divergent transcript		Approved	118597835				ENSG00000271869
HGNC:28777	DCTPP1	dCTP pyrophosphatase 1		Approved	79077	Q9H773	MGI:1913672	RGD:620933	ENSG00000179958
HGNC:18184	DCUN1D1	defective in cullin neddylation 1 domain containing 1		Approved	54165	Q96GG9	MGI:2150386, MGI:3582925	RGD:1309668	ENSG00000043093
HGNC:20328	DCUN1D2	defective in cullin neddylation 1 domain containing 2	C13orf17	Approved	55208	Q6PH85	MGI:2142792	RGD:1582994	ENSG00000150401
HGNC:39889	DCUN1D2-AS	DCUN1D2 antisense RNA	DCUN1D2-AS2	Approved	100874229				ENSG00000233613
HGNC:39888	DCUN1D2-AS1	DCUN1D2 antisense RNA 1		Entry Withdrawn					
HGNC:28734	DCUN1D3	defective in cullin neddylation 1 domain containing 3		Approved	123879	Q8IWE4	MGI:2679003	RGD:1308893	ENSG00000188215
HGNC:28998	DCUN1D4	defective in cullin neddylation 1 domain containing 4		Approved	23142	Q92564	MGI:2140972	RGD:1310422	ENSG00000109184
HGNC:28409	DCUN1D5	defective in cullin neddylation 1 domain containing 5		Approved	84259	Q9BTE7	MGI:1924113	RGD:1307008	ENSG00000137692
HGNC:2714	DCX	doublecortin		Approved	1641	O43602	MGI:1277171	RGD:620670	ENSG00000077279
HGNC:18985	DCXR	dicarbonyl and L-xylulose reductase		Approved	51181	Q7Z4W1	MGI:1915130	RGD:620031	ENSG00000169738
HGNC:54083	DCXR-DT	DCXR divergent transcript		Approved	113523640				ENSG00000264569
HGNC:28360	DDA1	DET1 and DDB1 associated 1	C19orf58	Approved	79016	Q9BW61	MGI:1913748	RGD:1584153	ENSG00000130311
HGNC:2715	DDAH1	dimethylarginine dimethylaminohydrolase 1		Approved	23576	O94760	MGI:1916469	RGD:70968	ENSG00000153904
HGNC:2716	DDAH2	DDAH family member 2, ADMA-independent		Approved	23564	O95865	MGI:1859016	RGD:1302955	ENSG00000213722
HGNC:2717	DDB1	damage specific DNA binding protein 1		Approved	1642	Q16531	MGI:1202384	RGD:621889	ENSG00000167986
HGNC:2718	DDB2	damage specific DNA binding protein 2		Approved	1643	Q92466	MGI:1355314	RGD:1310164	ENSG00000134574
HGNC:2719	DDC	dopa decarboxylase		Approved	1644	P20711	MGI:94876	RGD:2494	ENSG00000132437
HGNC:40171	DDC-AS1	DDC antisense RNA 1		Approved	100129427				ENSG00000226122
HGNC:2722	DDH1	symbol withdrawn, see [HGNC:384](/data/gene-symbol-report/#!/hgnc_id/HGNC:384)		Symbol Withdrawn					
HGNC:2723	DDH2	symbol withdrawn, see [HGNC:385](/data/gene-symbol-report/#!/hgnc_id/HGNC:385)		Symbol Withdrawn					
HGNC:19714	DDHD1	DDHD domain containing 1	SPG28	Approved	80821	Q8NEL9	MGI:2150302	RGD:1308576	ENSG00000100523
HGNC:55441	DDHD1-DT	DDHD1 divergent transcript		Approved	101927620				ENSG00000258731
HGNC:29106	DDHD2	DDHD domain containing 2	SAMWD1	Approved	23259	O94830	MGI:1919358	RGD:1585818	ENSG00000085788
HGNC:18961	DDI1	DNA damage inducible 1 homolog 1		Approved	414301	Q8WTU0	MGI:1919079	RGD:1559430	ENSG00000170967
HGNC:24578	DDI2	DNA damage inducible 1 homolog 2		Approved	84301	Q5TDH0	MGI:1917244	RGD:1311815	ENSG00000197312
HGNC:26351	DDIAS	DNA damage induced apoptosis suppressor	C11orf82	Approved	220042	Q8IXT1	MGI:1921291	RGD:1559690	ENSG00000165490
HGNC:2724	DDIT1	symbol withdrawn, see [HGNC:4095](/data/gene-symbol-report/#!/hgnc_id/HGNC:4095)		Symbol Withdrawn					
HGNC:2726	DDIT3	DNA damage inducible transcript 3		Approved	1649	P0DPQ6, P35638	MGI:109247	RGD:62391	ENSG00000175197
HGNC:24944	DDIT4	DNA damage inducible transcript 4		Approved	54541	Q9NX09	MGI:1921997	RGD:621731	ENSG00000168209
HGNC:52379	DDIT4-AS1	DDIT4 antisense RNA 1		Approved	110806271				ENSG00000269926
HGNC:30555	DDIT4L	DNA damage inducible transcript 4 like		Approved	115265	Q96D03	MGI:1920534	RGD:2322961	ENSG00000145358
HGNC:55562	DDIT4L-AS1	DDIT4L antisense RNA 1		Approved	101929353				ENSG00000249710
HGNC:24458	DDN	dendrin		Approved	23109	O94850	MGI:108101	RGD:2497	ENSG00000181418
HGNC:53464	DDN-AS1	DDN and PRKAG1 antisense RNA 1		Approved	105369758				ENSG00000257913
HGNC:2727	DDO	D-aspartate oxidase		Approved	8528	Q99489	MGI:1925528	RGD:1595123	ENSG00000203797
HGNC:2728	DDOST	dolichyl-diphosphooligosaccharide--protein glycosyltransferase non-catalytic subunit		Approved	1650	P39656	MGI:1194508	RGD:1308970	ENSG00000244038
HGNC:2729	DDPAC	symbol withdrawn, see [HGNC:6893](/data/gene-symbol-report/#!/hgnc_id/HGNC:6893)		Symbol Withdrawn					
HGNC:2730	DDR1	discoidin domain receptor tyrosine kinase 1	NTRK4, PTK3A, NEP, CAK, EDDR1	Approved	780	Q08345	MGI:99216	RGD:2252	ENSG00000204580
HGNC:28694	DDR1-DT	DDR1 divergent transcript	TIGD1L, DDR1-AS1	Approved	414771				ENSG00000237775
HGNC:2731	DDR2	discoidin domain receptor tyrosine kinase 2	TYRO10, NTRKR3	Approved	4921	Q16832	MGI:1345277	RGD:619855	ENSG00000162733
HGNC:16110	DDRGK1	DDRGK domain containing 1	C20orf116	Approved	65992	Q96HY6	MGI:1924256	RGD:1309979	ENSG00000198171
HGNC:2732	DDT	D-dopachrome tautomerase		Approved	1652	P30046	MGI:1298381	RGD:61923	ENSG00000099977
HGNC:33446	DDTL	D-dopachrome tautomerase like		Approved	100037417	A6NHG4	MGI:1298381		ENSG00000099974
HGNC:44546	DDTP1	D-dopachrome tautomerase pseudogene 1		Approved	101060160				ENSG00000230683
HGNC:2733	DDU	dermo-distortive urticaria		Entry Withdrawn					
HGNC:2734	DDX1	DEAD-box helicase 1		Approved	1653	Q92499	MGI:2144727	RGD:619903	ENSG00000079785
HGNC:55358	DDX3ILA1	DDX3 interacting lncRNA 1		Approved	105375368				ENSG00000232756
HGNC:42171	DDX3P1	DEAD-box helicase 3 pseudogene 1	DDX3YP1	Approved	100133180				ENSG00000232928
HGNC:42172	DDX3P2	DEAD-box helicase 3 pseudogene 2	DDX3YP2	Approved	100874489				ENSG00000230986
HGNC:42173	DDX3P3	DEAD-box helicase 3 pseudogene 3	DDX3YP3	Approved	650560				ENSG00000251571
HGNC:2745	DDX3X	DEAD-box helicase 3 X-linked	DDX3	Approved	1654	O00571	MGI:91842, MGI:103064	RGD:1564771	ENSG00000215301
HGNC:2699	DDX3Y	DEAD-box helicase 3 Y-linked	DBY	Approved	8653	O15523	MGI:1349406	RGD:2314437	ENSG00000067048
HGNC:18700	DDX4	DEAD-box helicase 4		Approved	54514	Q9NQI0	MGI:102670	RGD:1308793	ENSG00000152670
HGNC:2746	DDX5	DEAD-box helicase 5	HLR1, G17P1	Approved	1655	P17844	MGI:105037	RGD:619906	ENSG00000108654
HGNC:56581	DDX5P1	DDX5 pseudogene 1		Approved	100421238				ENSG00000236241
HGNC:2747	DDX6	DEAD-box helicase 6	HLR2	Approved	1656	P26196	MGI:104976	RGD:1564560	ENSG00000110367
HGNC:13948	DDX6P1	DEAD-box helicase 6 pseudogene 1	DDX6P	Approved	442192				ENSG00000230056
HGNC:37806	DDX6P2	DEAD-box helicase 6 pseudogene 2		Approved	100130117				ENSG00000277914
HGNC:2748	DDX7	DEAD (Asp-Glu-Ala-Asp) box polypeptide 7		Entry Withdrawn					
HGNC:2735	DDX10	DEAD-box helicase 10		Approved	1662	Q13206	MGI:1924841	RGD:1308990	ENSG00000178105
HGNC:44960	DDX10P1	DEAD-box helicase 10 pseudogene 1		Approved	100421371				ENSG00000237135
HGNC:44961	DDX10P2	DEAD-box helicase 10 pseudogene 2		Approved	401533				ENSG00000230360
HGNC:2736	DDX11	DEAD/H-box helicase 11		Approved	1663	Q96FC9	MGI:2443590	RGD:1306675	ENSG00000013573
HGNC:44176	DDX11-AS1	DDX11 antisense RNA 1		Approved	100506660				ENSG00000245614
HGNC:37102	DDX11L1	DEAD/H-box helicase 11 like 1 (pseudogene)		Approved	100287102				ENSG00000223972
HGNC:37103	DDX11L2	DEAD/H-box helicase 11 like 2 (pseudogene)		Approved	84771				ENSG00000236397
HGNC:37104	DDX11L3	DEAD/H-box helicase 11 like 3 (pseudogene)		Approved	100302657				
HGNC:37105	DDX11L4	DEAD/H-box helicase 11 like 4 (pseudogene)		Approved	100337622				
HGNC:37106	DDX11L5	DEAD/H-box helicase 11 like 5 (pseudogene)		Approved	100287596				ENSG00000236875
HGNC:37107	DDX11L6	DEAD/H-box helicase 11 like 6 (pseudogene)		Approved					
HGNC:37108	DDX11L7	DEAD/H-box helicase 11 like 7 (pseudogene)		Approved					
HGNC:37101	DDX11L8	DEAD/H-box helicase 11 like 8 (pseudogene)		Approved	100302090	A8MPP1	MGI:2443590		ENSG00000256263
HGNC:37109	DDX11L9	DEAD/H-box helicase 11 like 9 (pseudogene)		Approved	100288486				ENSG00000248472
HGNC:14125	DDX11L10	DEAD/H-box helicase 11 like 10 (pseudogene)	DDX11P, DDX11L1	Approved	100287029				ENSG00000233614
HGNC:37110	DDX11L11	DEAD/H-box helicase 11 like 11 (pseudogene)		Approved	100887824				
HGNC:37112	DDX11L13	DEAD/H-box helicase 11 like 13 (pseudogene)		Approved					
HGNC:37114	DDX11L15	DEAD/H-box helicase 11 like 15 (pseudogene)		Approved					
HGNC:37115	DDX11L16	DEAD/H-box helicase 11 like 16 (pseudogene)		Approved	727856				ENSG00000227159
HGNC:55080	DDX11L17	DEAD/H-box helicase 11 like 17 (pseudogene)		Approved	102725121				ENSG00000279928
HGNC:38668	DDX12B	DEAD/H-box helicase 12B (pseudogene)		Approved					ENSG00000111788
HGNC:2737	DDX12P	DEAD/H-box helicase 12, pseudogene	DDX12	Approved	440081	Q92771	MGI:2443590		ENSG00000214826
HGNC:2740	DDX17	DEAD-box helicase 17		Approved	10521	Q92841	MGI:1914290	RGD:1304945	ENSG00000100201
HGNC:2741	DDX18	DEAD-box helicase 18		Approved	8886	Q9NVP1	MGI:1914192	RGD:1549712	ENSG00000088205
HGNC:20007	DDX18P1	DEAD-box helicase 18 pseudogene 1		Approved	319099				ENSG00000259165
HGNC:21432	DDX18P2	DEAD-box helicase 18 pseudogene 2		Approved	651053				
HGNC:33966	DDX18P3	DEAD-box helicase 18 pseudogene 3		Approved	442164				ENSG00000217414
HGNC:33967	DDX18P4	DEAD-box helicase 18 pseudogene 4		Approved	402222				ENSG00000251553
HGNC:33968	DDX18P5	DEAD-box helicase 18 pseudogene 5		Approved	646378				ENSG00000255220
HGNC:31126	DDX18P6	DEAD-box helicase 18 pseudogene 6		Approved	100131370				ENSG00000220585
HGNC:25628	DDX19A	DEAD-box helicase 19A	DDX19L	Approved	55308	Q9NUU7	MGI:99526	RGD:1303136	ENSG00000168872
HGNC:55349	DDX19A-DT	DDX19A divergent transcript		Approved	100506083				ENSG00000261777
HGNC:2742	DDX19B	DEAD-box helicase 19B	DDX19	Approved	11269	Q9UMR2	MGI:2148251	RGD:1593382	ENSG00000157349
HGNC:2743	DDX20	DEAD-box helicase 20		Approved	11218	Q9UHI6	MGI:1858415	RGD:621744	ENSG00000064703
HGNC:44673	DDX20P1	DEAD-box helicase 20 pseudogene 1		Approved	100421369				ENSG00000276662
HGNC:2744	DDX21	DExD-box helicase 21		Approved	9188	Q9NR30	MGI:1860494	RGD:1307306	ENSG00000165732
HGNC:17347	DDX23	DEAD-box helicase 23		Approved	9416	Q9BUQ8	MGI:1921601	RGD:1308685	ENSG00000174243
HGNC:13266	DDX24	DEAD-box helicase 24		Approved	57062	Q9GZR7	MGI:1351337	RGD:727929	ENSG00000089737
HGNC:18698	DDX25	DEAD-box helicase 25		Approved	29118	Q9UHL0	MGI:1353582	RGD:68381	ENSG00000109832
HGNC:15837	DDX27	DEAD-box helicase 27		Approved	55661	Q96GQ7	MGI:2385884	RGD:1305634	ENSG00000124228
HGNC:17330	DDX28	DEAD-box helicase 28		Approved	55794	Q9NUL7	MGI:1919236	RGD:1311976	ENSG00000182810
HGNC:16715	DDX31	DEAD-box helicase 31		Approved	64794	Q9H8H2	MGI:2682639	RGD:1304895	ENSG00000125485
HGNC:17821	DDX39A	DExD-box helicase 39A	DDX39	Approved	10212	O00148	MGI:1915528	RGD:619920	ENSG00000123136
HGNC:39664	DDX39AP1	DEAD-box helicase 39A pseudogene 1		Approved	646164				ENSG00000225777
HGNC:13917	DDX39B	DExD-box helicase 39B	BAT1	Approved	7919	Q13838	MGI:99240	RGD:70923	ENSG00000198563
HGNC:39771	DDX39B-AS1	DDX39B antisense RNA 1		Approved	106478957				ENSG00000234006
HGNC:33450	DDX39BP1	DEAD-box helicase 39B pseudogene 1	BAT1P1	Approved	100048904				ENSG00000233677
HGNC:33461	DDX39BP2	DEAD-box helicase 39B pseudogene 2	BAT1P2	Approved	100048923				ENSG00000238024
HGNC:18674	DDX41	DEAD-box helicase 41		Approved	51428	Q9UJV9	MGI:1920185	RGD:1311758	ENSG00000183258
HGNC:18676	DDX42	DEAD-box helicase 42		Approved	11325	Q86XP3	MGI:1919297	RGD:1304909	ENSG00000198231
HGNC:18677	DDX43	DEAD-box helicase 43		Approved	55510	Q9NXZ2	MGI:3642857	RGD:1586947	ENSG00000080007
HGNC:50780	DDX43P1	DEAD-box helicase 43 pseudogene 1		Approved	100421307				ENSG00000248295
HGNC:50781	DDX43P2	DEAD-box helicase 43 pseudogene 2		Approved	100533714				ENSG00000270763
HGNC:50782	DDX43P3	DEAD-box helicase 43 pseudogene 3		Approved	106481709				ENSG00000230196
HGNC:18681	DDX46	DEAD-box helicase 46		Approved	9879	Q7L014	MGI:1920895	RGD:708480	ENSG00000145833
HGNC:18682	DDX47	DEAD-box helicase 47		Approved	51202	Q9H0S4	MGI:1915005	RGD:1310437	ENSG00000213782
HGNC:18684	DDX49	DEAD-box helicase 49		Approved	54555	Q9Y6V7	MGI:2136689	RGD:1311124	ENSG00000105671
HGNC:17906	DDX50	DExD-box helicase 50		Approved	79009	Q9BQ39	MGI:2182303	RGD:1310934	ENSG00000107625
HGNC:18974	DDX50P1	DEAD-box helicase 50 pseudogene 1		Approved	192146				ENSG00000229816
HGNC:18975	DDX50P2	DEAD-box helicase 50 pseudogene 2		Approved	100421328				ENSG00000240048
HGNC:20082	DDX51	DEAD-box helicase 51		Approved	317781	Q8N8A6	MGI:1916913	RGD:1309580	ENSG00000185163
HGNC:20038	DDX52	DExD-box helicase 52		Approved	11056	Q9Y2R4	MGI:1925644	RGD:621743	ENSG00000278053
HGNC:20083	DDX53	DEAD-box helicase 53		Approved	168400	Q86TM3			ENSG00000184735
